iter	Passed	Remaining
0	173	172967
1	174	87220
2	176	58537
3	177	44181
4	179	35819
5	181	30014
6	182	25844
7	183	22733
8	184	20295
9	185	18347
10	186	16771
11	187	15448
12	188	14324
13	189	13357
14	191	12552
15	193	11875
16	194	11266
17	196	10722
18	197	10222
19	199	9770
20	200	9365
21	202	8996
22	203	8662
23	207	8419
24	209	8171
25	211	7914
26	212	7673
27	214	7437
28	215	7224
29	217	7028
30	219	6860
31	222	6721
32	223	6559
33	225	6407
34	226	6255
35	228	6115
36	229	5984
37	231	5859
38	233	5752
39	236	5664
40	237	5562
41	239	5462
42	240	5358
43	242	5261
44	243	5168
45	244	5081
46	247	5013
47	249	4942
48	251	4875
49	252	4797
50	253	4724
51	255	4649
52	256	4578
53	257	4510
54	259	4450
55	261	4401
56	262	4350
57	264	4293
58	265	4236
59	266	4180
60	268	4127
61	269	4077
62	270	4028
63	272	3981
64	273	3933
65	274	3889
66	276	3856
67	278	3818
68	279	3777
69	281	3735
70	282	3694
71	283	3652
72	284	3613
73	285	3574
74	286	3538
75	288	3504
76	289	3474
77	291	3445
78	293	3417
79	294	3387
80	295	3357
81	297	3327
82	297	3291
83	299	3261
84	300	3232
85	301	3204
86	303	3181
87	305	3163
88	308	3154
89	310	3138
90	312	3116
91	313	3094
92	315	3073
93	316	3051
94	317	3027
95	319	3009
96	321	2988
97	322	2967
98	323	2945
99	324	2922
100	325	2899
101	326	2875
102	327	2853
103	328	2832
104	329	2810
105	330	2787
106	331	2764
107	331	2741
108	332	2719
109	333	2698
110	334	2680
111	336	2664
112	337	2645
113	337	2625
114	338	2605
115	339	2585
116	339	2564
117	340	2544
118	341	2526
119	341	2507
120	342	2490
121	343	2471
122	344	2454
123	344	2436
124	345	2420
125	346	2404
126	347	2387
127	348	2371
128	349	2358
129	350	2344
130	351	2331
131	352	2316
132	353	2301
133	353	2286
134	354	2271
135	355	2257
136	356	2242
137	356	2229
138	357	2215
139	358	2202
140	359	2188
141	359	2173
142	360	2161
143	361	2149
144	362	2136
145	363	2123
146	363	2111
147	365	2101
148	366	2091
149	367	2080
150	368	2070
151	369	2059
152	370	2049
153	371	2038
154	372	2028
155	372	2017
156	373	2007
157	374	1997
158	375	1986
159	376	1977
160	377	1965
161	377	1955
162	378	1946
163	380	1938
164	381	1930
165	382	1921
166	383	1912
167	384	1902
168	385	1893
169	385	1884
170	386	1874
171	387	1865
172	388	1856
173	389	1847
174	390	1839
175	391	1831
176	391	1822
177	392	1813
178	393	1806
179	395	1800
180	396	1793
181	397	1786
182	398	1779
183	399	1771
184	400	1764
185	401	1757
186	402	1749
187	403	1741
188	404	1734
189	405	1727
190	406	1720
191	407	1713
192	408	1706
193	409	1701
194	411	1697
195	412	1693
196	413	1686
197	414	1680
198	415	1673
199	416	1666
200	417	1659
201	418	1652
202	419	1646
203	420	1640
204	421	1633
205	422	1627
206	423	1621
207	424	1616
208	425	1611
209	427	1606
210	428	1600
211	428	1594
212	429	1587
213	430	1581
214	431	1575
215	432	1569
216	433	1563
217	434	1557
218	435	1551
219	436	1546
220	437	1541
221	438	1535
222	439	1531
223	440	1526
224	441	1521
225	442	1516
226	443	1511
227	444	1505
228	445	1500
229	446	1494
230	447	1489
231	448	1484
232	449	1479
233	450	1473
234	451	1468
235	452	1463
236	452	1458
237	454	1454
238	455	1450
239	456	1446
240	457	1441
241	458	1436
242	459	1431
243	460	1426
244	461	1421
245	462	1416
246	463	1411
247	463	1406
248	464	1402
249	465	1397
250	466	1392
251	467	1389
252	470	1387
253	471	1384
254	472	1380
255	473	1375
256	474	1371
257	475	1366
258	476	1362
259	477	1358
260	478	1354
261	479	1349
262	480	1345
263	481	1341
264	481	1336
265	482	1332
266	484	1330
267	486	1327
268	487	1323
269	488	1319
270	489	1315
271	489	1311
272	490	1306
273	491	1302
274	492	1298
275	493	1294
276	494	1290
277	495	1286
278	496	1282
279	497	1278
280	498	1276
281	499	1272
282	501	1269
283	502	1265
284	503	1262
285	504	1258
286	504	1254
287	505	1250
288	506	1246
289	507	1242
290	508	1238
291	509	1235
292	510	1231
293	511	1227
294	512	1224
295	514	1223
296	515	1221
297	517	1218
298	518	1215
299	519	1212
300	520	1208
301	521	1205
302	523	1203
303	524	1199
304	525	1196
305	526	1193
306	527	1189
307	529	1188
308	530	1186
309	531	1183
310	532	1179
311	533	1176
312	534	1173
313	535	1169
314	536	1166
315	537	1163
316	538	1160
317	539	1157
318	540	1154
319	541	1151
320	542	1148
321	544	1146
322	545	1143
323	546	1140
324	548	1138
325	548	1135
326	550	1133
327	551	1130
328	552	1127
329	553	1124
330	554	1121
331	555	1117
332	556	1115
333	558	1113
334	559	1111
335	561	1108
336	562	1105
337	563	1102
338	564	1100
339	565	1097
340	566	1094
341	567	1091
342	568	1088
343	569	1085
344	569	1081
345	570	1078
346	571	1075
347	572	1073
348	574	1071
349	575	1069
350	576	1066
351	577	1063
352	578	1060
353	580	1058
354	581	1056
355	582	1053
356	583	1050
357	584	1047
358	585	1044
359	586	1041
360	587	1039
361	588	1037
362	589	1035
363	591	1032
364	592	1030
365	593	1027
366	594	1024
367	595	1022
368	596	1019
369	597	1016
370	598	1014
371	599	1011
372	600	1009
373	601	1006
374	602	1004
375	604	1003
376	605	1000
377	606	998
378	607	996
379	608	993
380	610	992
381	612	990
382	613	987
383	614	985
384	616	984
385	618	984
386	620	983
387	622	981
388	623	978
389	624	976
390	625	974
391	626	971
392	627	969
393	629	967
394	630	965
395	631	963
396	633	962
397	636	962
398	637	960
399	638	958
400	640	956
401	641	953
402	642	951
403	643	948
404	644	947
405	645	944
406	646	942
407	648	941
408	650	939
409	651	937
410	652	935
411	653	933
412	654	930
413	656	928
414	656	926
415	657	923
416	658	921
417	659	918
418	660	916
419	662	914
420	663	913
421	666	912
422	667	910
423	668	908
424	670	906
425	671	904
426	672	901
427	673	899
428	674	897
429	675	895
430	676	893
431	678	892
432	681	891
433	683	891
434	684	889
435	685	887
436	686	884
437	687	882
438	688	880
439	689	878
440	690	875
441	705	890
442	706	888
443	707	885
444	708	883
445	710	881
446	711	879
447	712	877
448	713	876
449	715	874
450	716	871
451	717	869
452	718	867
453	719	865
454	720	862
455	721	860
456	722	857
457	723	855
458	725	854
459	726	853
460	728	851
461	729	849
462	730	846
463	730	844
464	731	842
465	732	839
466	733	837
467	734	835
468	735	832
469	736	830
470	737	827
471	738	826
472	740	825
473	741	823
474	742	821
475	743	818
476	744	816
477	746	814
478	747	812
479	748	810
480	749	808
481	750	806
482	751	804
483	752	802
484	753	800
485	756	799
486	757	797
487	758	795
488	759	794
489	761	792
490	762	790
491	763	788
492	764	786
493	765	784
494	766	782
495	767	779
496	768	778
497	770	776
498	771	774
499	772	772
500	773	770
501	774	767
502	775	765
503	775	763
504	776	761
505	777	759
506	778	757
507	779	755
508	780	752
509	781	750
510	782	748
511	783	747
512	785	745
513	786	743
514	787	741
515	788	739
516	789	737
517	790	735
518	791	733
519	792	731
520	792	729
521	793	726
522	794	724
523	795	722
524	796	720
525	797	718
526	798	716
527	800	715
528	801	713
529	802	711
530	803	709
531	804	707
532	804	705
533	805	703
534	806	701
535	807	699
536	808	697
537	809	695
538	810	693
539	811	691
540	812	689
541	813	687
542	815	686
543	816	684
544	817	682
545	818	680
546	819	678
547	820	676
548	821	674
549	822	672
550	823	670
551	824	668
552	825	666
553	826	665
554	827	663
555	828	661
556	830	660
557	831	658
558	832	656
559	833	654
560	834	652
561	835	650
562	836	649
563	837	647
564	837	645
565	838	643
566	839	641
567	840	639
568	841	637
569	843	636
570	844	634
571	845	632
572	846	631
573	847	629
574	848	627
575	849	625
576	850	623
577	851	621
578	852	620
579	853	618
580	854	616
581	855	614
582	856	612
583	858	611
584	860	610
585	861	608
586	862	606
587	863	605
588	864	603
589	865	601
590	866	599
591	867	597
592	868	595
593	868	593
594	869	592
595	870	590
596	871	588
597	873	587
598	874	585
599	875	583
600	876	582
601	877	580
602	878	578
603	879	576
604	880	574
605	881	572
606	882	571
607	883	569
608	883	567
609	884	565
610	885	563
611	886	562
612	888	561
613	890	559
614	891	557
615	892	556
616	893	554
617	893	552
618	894	550
619	895	549
620	896	547
621	897	545
622	898	543
623	899	542
624	900	540
625	901	538
626	902	537
627	904	535
628	905	534
629	906	532
630	907	530
631	908	529
632	909	527
633	910	525
634	911	523
635	912	522
636	913	520
637	913	518
638	914	516
639	915	515
640	916	513
641	918	512
642	920	511
643	922	509
644	923	508
645	924	506
646	925	505
647	926	503
648	927	501
649	928	500
650	929	498
651	930	496
652	931	495
653	932	493
654	934	492
655	935	490
656	936	488
657	937	487
658	938	485
659	939	483
660	939	482
661	940	480
662	941	478
663	942	477
664	943	475
665	944	473
666	945	472
667	946	470
668	947	468
669	948	467
670	950	465
671	951	464
672	952	462
673	953	460
674	953	459
675	954	457
676	955	456
677	956	454
678	957	452
679	958	451
680	959	449
681	960	447
682	961	446
683	963	445
684	964	443
685	965	442
686	966	440
687	967	438
688	968	437
689	969	435
690	970	434
691	971	432
692	972	430
693	973	429
694	974	427
695	975	426
696	976	424
697	978	423
698	979	421
699	981	420
700	982	418
701	983	417
702	984	415
703	985	414
704	986	412
705	986	411
706	987	409
707	989	407
708	990	406
709	991	404
